Text,Summary,Score
"Tastes great, but has MSG and partially hydrogenated vegetable oil.  It's my fault for forgetting to check ingredients before ordering--but seriously, it should be unthinkable and illegal to use such chemicals in our food.","Tastes great, but has MSG and partially hydrogenated vegetable oil.",1
I would NOT buy from this company again. when the pro treats came they were already expired by over two months. costimer service was not help full and did NOT give me a refund or exchange the product for a new one.  custmer service was the worst I have ever experience. I even sent them the upc code and the copy of the sale receipt and I still did not get a refund or exchange of product.  I woud NEVER buy fromt them again. I recommend you dont either.,dont buy from this company,1
Tastes like plastic being melted down in water. Not sure if it is food grade plastic used or not. I am worried it is toxic.,Horrible,1
"I was SO exited when it came, because the smell was good, but THE TASTE!!!!!!!!!!!! is just horrible, it's like something dusty, bitter and I don't know what else.<br />So I stuck with this 4 bags and I don't know what should I do with them.....I gave it to my friend to try and she didn't like it either......",horrible coffee,1
"Look at the three MAIN ingredients. The top three are salt, sugar and MSG.<br /><br />I would steer clear from this if I were you. Its has more MSG than any spice or ingredient that you actually WANT. Whatever happened to things that were real. Why is everything so fake and processed today. Salt and sugar I can come to expect. But this should be a pocketful of spices and flavors. MSG shouldnt be in here, especially in greater quantity than ANY OTHER spice (not counting sugar n salt)",Loaded with MSG.,1
"I used to eat a lot of Tinkyada pasta until I read that rice grown in the US South may contain high levels of arsenic. According to Tinkyada, their rice is grown in Arkansas. I emailed them to find out if they had tested their rice for arsenic.  I never received a reply.  Their website does not address the issue either.  Until they print assurances that their rice is safe, I plan to avoid all their products.<br /><br />Lundberg rice, which is grown in California, is safe from arsenic according to the company.",Warning: may contain arsenic,1
The item arrived open! The bag the item came in was cute and planned on using it for storage! There was leaking product all over the bag! Everything was half gone! I only got half of usable merch outta this! The soap leaves a residue!,Open when arrived,1
"This nice pretty picture sets the expectation, will arrive in a nice/plastic box.<br />Mine arrived without even a plastic back. Someone just dumped (edible product)--into the box.<br />I ordered the Orange as well (which arrived as expected--nicely packaged)--However, I'm positive the 1lb of Beans were simply dumped into the box (vs being packed)--as the box was no larger than a Shoe box (ie. not a lot of items in the box)--there was no busted open bag to be found.<br /><br />Had there been a busted open Bag, thought ""eh--UPS, things happen""---but NOPE--someone just dumped them in a Card Board Box, shipped that and my Orange (protected ones) together .<br /><br />I would think twice when ordering an Edible Product from Bice.",Highly Deceptive,1
I ordered the Mulling spices as pictured.  What I received was the Spiced Cider mix as described.  I paid extra to have a case of it sent overnight mail.  I am very disappointed.  Apparently the ad department got the wrong ad with the picture and what I saw was not what I got.  I'm sending it back but who knows if I will get a refund and I'm probably definitely out the $22 overnight fee which seems wrong since it's their fault. BE AWARE!,WRONG product shown,1
I bought this because I love Torani's sugar-free Mango syrup and figured all their products would taste just as wonderful. Bad assumption. Now I'm stuck with 3 bottles that are not going to be used because they taste so horrible. Maybe I can give them to my sister.,Horrible taste,1
"These may be healthy, but mine went into the trash.  I couldn't get anyone to eat them.  The taste is like a fishy berry.",Tastes like fish,1
"Only one star because the chips had a rancid, old taste and smell. The chips were in date but the oil in the chips oxidized. Amazon fixed this problem with a refund.",Not A Good Choice,1
Heating issue and hang. also totally disappointed,Horrible,1
"I drink my coffee black, no sugar as it really lets the flavored coffee taste richer, at its peak of intensity. This coffee had ZIP flavor! Save your $$ & buy some Barnie's! At least I bought this on sale. I would not recommend it at all, even as a plain coffee it was not very pleasant tasting! If you want a gOOD flavored coffee try Boyer's, they sell it here on Amazon!",Where's the Pecan Flavor???,1
"I was training my maltese puppies, using chicken liver treats, every time i would throw the ball, they would bring he ball back for a chicken liver treat. I ran out of the chicken liver, so i opened the salmon.  They got he ball  and i gave hm salmon. They ate it the first time after smelling it or a while, the second time they got the ball they did not touch thebtreat. I have tried 3 othr times, and they hate this stuff.<br />I will not buy or recommend this product for Maltese",Toy Maltese hate salmon flavor,1
"I've really enjoyed every Starbucks Via variety I've tried -- the Italian and Colombian roasts, caramel and iced coffees especially. However, I've been hoping for a more mild blend since Starbucks can be a little too strong at times. So I was really excited to try this Breakfast Blend via, which is labeled as ""mild."" Sadly, it's anything but. It's not only still strong, but also bitter, and leaves an awful sour aftertaste. I can't bring myself to drink another cup, even if it means a waste of money. Horrible.",Worst cup of coffee I've ever had,1
"When I opened my first box of Strawberry Delight Frosted Mini Wheats this morning, I thought I had bought something other than cereal by mistake.  I was expecting something like the usual Frosted mini wheats, with the exception of some pink frosting and perhaps some strawberry flavor.<br /><br />How wrong I was.<br /><br />Instead, I got a little square of frosting, colored by a pink not found on this Earth and ""scented"" the with the strongest chemical candy perfume that I have ever had the misfortune to come across. It hovered over the box like a pink cloud before taking out a mallet and knocking me into a diabetic coma. There were a few twigs of what was supposed to be cereal, but it was abundantly clear that the frosting is the reason for this stuff, and the twigs are merely a crumb being thrown to caring parents, so they will serve this stuff instead of a nutritious meal. Indeed the only nutritional claim on the box is wrong: the box says that one serving contains 25% of a day's allowance of fiber, when the nutritional information clearly says a serving of this stuff  has only 20% of a day's allowance of fiber. Which one is it?<br /><br />I don't think that the fiber question will matter to the other reviewers,  with most of them eating the confection out of hand as a snack.  Sadly that means they are getting a whole heck of a lot more than the suggested serving of 24 tiny squares of frosting. Happily, that means they'll likely get a whole day's supply of fiber, but they'll also end up with a week's supply of sugar.<br /><br />Once in a while, I have order food from Amazon that does not suit my taste.  This cereal is one of those items.  Usually, I donate the unopened packages to the local food pantry and count it as some good coming from my lesson.  I can't even do that with these this so-called cereal.  In poor homes, the children already consume too many processed foods and simple carbohydrates (sugar, in this case).  I am not going to add to the bad eating habits of the next generation.",What are these cereal bits in my candy?,1
"I ordered these because I love them and can't find them in stores. Well, I found out they dont make them anymore, and I was sent a ""substitute"". Amazon was great and I was able to send back the order at no cost to me and recieved a timely credit.","What U see, Is NOT what U get",1
"At first my cat took her pill in these pill pockets, but she stopped eating these treats.  I ended up using frisky soft hairball treats and she took the pills no problem.  She would never go back to eating these pill pockets, even when I didn't put a pill in there.  The other cats weren't fans either.  I ended up giving them to an animal shelter.  I hope they are working for some other cats","worked at first, but then she wouldn't eat them",1
Got Damaged product. Very poor.,Nan,1
"I recently bought a bag of these from the store near my house.  It tasted yummy.  However when I was sampling it, I almost broke my tooth.  There was a metal button in with the chocolate.  It was hard to get hold of them to tell them of my problem.  If you find something they want to get it away from you fast and give you a small amount of money.  I didnt like how they handled it.  Customer service is really unsatisfying so dont bother.  JUST BE CAREFUL!",Watch out for foreign objects in chocolate,1
"I have been using the Hellman's light mayo for years and have done just fine. Should have stuck with it. The consistency of this was fine but it tasted like a sweet and tangy miracle whip, which would be fine I guess if I liked miracle whip,  but the after taste was so bad I was literally sick to my stomach while eating this. Considering that there is really a small trace of carbs and calories in this, I think I'll stick to the light mayo which only has 35 calories per serving and less than 1 carb.",Gross,1
"At first, I thought my toy schnauzer had gotten into something that made her very sick but I took her off the Newman's Own anyway just to be safe (a decision made by my vet and I after I took her into the ER that night). I decided to try again a few days ago because it appears to be an excellent food (ingredient-wise) and we hadn't pinpointed the specific problem but, yet again, it wasn't even an hour before she was horribly sick and the effects of one feeding have lasted for days (Thank God I have medication left over from our last trip! I'm trying to avoid another vet visit but we're not in the clear yet). Even the stray cats on the block won't touch it and they pretty much eat anything. Definitely won't be trying it again.",All flavors repeatedly make my dog terribly sick,1
Ink has completely dried up. Worst product. Don't buy this product,Waste of money!,1
From the beginning to till always there is a problem that switch is big problem,Unsatisfactory,1
I got a bad rash under only one arm...and cant get rid of it. Terrible product. Anybody know how to get rid of this rash?,TERRIBLE,1
"I was very excited to try this coffee flavor, but when I did, I was very dissapointed.  I think the flavor is too strong, especially since it tastes really fake.  It almost tastes like there is alcohol in it.  Since I ordered the double box, I gave one away to a friend who likes this flavor. I would never buy this coffee again.",yucky,1
Very bad product,Nan,1
"Tried this drink because it was on sale here at Amazon and decided to buy it after the two 5-star reviews.  There's a reason why there is only 2 reviews.  It's horrible.  There's nothing natural tasting about this stuff.  Stick with the natural coconut, it's organic, it's much better tasting, and it's cheaper.  I brought a bottle to my tennis match.  Was winning the match until I cracked open this bottle.  It was so horrible that I ended losing my match because I rather get dehydrated than drink this stuff.  Had friends try it for second opinion and they agreed.  Buy at your own risk...",Artificial taste...unnatural,1
"The first thing I did was check the ingredients because of all the different sweeteners  that claim to be Stevia but have fillers of some sort. I had chosen this brand because it's all natural, no chemicals, but unlike other pure Stevia sweeteners that I've tried, that have Stevia as the Main ingredient and Xylitol(to help with the caking) i.e ""Ingredients: Stevia, Xylitol"" this one reads, ""Ingredients: Inulin soluble fiber, Sweetleaf Sweetener.""  I was disappointed and thought you might want to know if you're looking for a real all Stevia sweetener. Amazon does not give refunds on grocery items, though they were gracious on this occassion to give one. I don't know about the taste, my main concern was that it was actually Stevia and then I can look into taste afterwards. One more thing, the description on the bottle label attributes digestive health to the inulin fiber not the stevia.","Ingredients not detailed in description. ""Ingredients: Inulin soluble fiber, Sweetleaf Sweetener.""",1
"The description clearly states, ""This variety sampler includes only flavored caffeinated coffee."" but it was not 24 samples of coffee.  Several of the K-cups were ciders and there was a hot chocolate.  That would be fine if the seller disclosed that in the description but to say you're sending 24 COFFEE samples, then send something other than coffee is just plain deceitful.",Not as described,1
"The center was not liquid, but was more like a gel. There was a hole in the bottom of each candy where the liquid leaked out and was stuck to the crate! Chocolate didn't taste good either...outdated??",very disappointed,1
I just got my order and it's (one of) the worst things I have ever put in my mouth! Something went horribly wrong when they made this batch. I think they spilled sodium nitrate or something all over this batch! It had white powder all over it and my even my dog turned his nose up at it! I give it one star because I've received two other orders that were so-so tasting but cancelled my subscription right after I got this... Buyer Beware!,Bad Quaility Control???,1
"A number of us earnestly tried this product but after trying another brand, found this to be wanting very much.<br /><br />  With that said, there is a company making soy jerky that has better flavor, texture and quality. They even make jerky that is unsweetened. Most importantly, this company tasty eats does not have any garlic or onion powder in any of their products.<br /><br />  This was the biggest, we felt, downfall of this product. Except this company, every jerky company; except tasty eats which uses no garlic or onion powder in any of their product line, all would list garlic or onion if an ingredient. The primal strips company has ""vegetarian spices"" so one is not clear what this is. Even the company, after phoning them, are rather reticent about saying if their is granulated garlic or onion. But there is. In these primals strips, all are having some form of garlic, possibly onion.<br /><br />  We found tasty eats soy jerky to be Perfect. Really, in quality, texture and also the fact that they use no onion or garlic whatsoever.",Not as good as it could be (misleading ingredient label also),1
"I used to buy Apple and Eve juice boxes all the time until I discovered most of their apple juice comes from China (and apple juice is even in this ""grape"" product). I don't feel safe giving my children food products from China given the country's track record with food safety.",Warning: This juice comes from China!,1
I received these timely.  I was disappointed in the taste and texture of this product. Not to my taste! The product was too dense in texture and gummy. The taste was pasty.,eating cardboard,1
Don't purchase it for ladies it doesn't suit them it doesn't support on Android 6 & 7(mi note 3 Lenovo k6 power mi Y1),Worthless,1
"I usually drink Twinnings or Bigelow English Breakfast tea in bags, but I'm trying to switch to loose teas and this was my first attempt at English Breakfast.  The dry tea smells like English Breakfast to me, but once it is brewed it smells and tastes totally different, and I don't like the taste at all.  I followed the directions and I have tried different brewing times (2-5min), adding different amounts of milk and/or sugar.  Other people might like it, but be aware that it may not taste anything like what you expect.",Doesn't taste like English Breakfast to me.,1
"I've tasted a large number of Dr Pepper imitators, and Dr. Zevia is by far the worst.<br />I like Stevia sweeteners, you see, and I assumed Dr. Zevia would be delicious.<br />Don't buy it, don't drink it. It tastes like chalky cherry cough syrup. I've only been able to drink it when mixed with Coca Cola or Dr Pepper, and that defeats the purpose of diet soda entirely, doesn't it?<br /><br />I'm not even willing to try the other Zevia flavors, I still have 17 cans of Dr Zevia I can't handle. Blech.",Ugh. Shame on Zevia,1
"Very flavorful, jalapeno is a fantastic concept for Pretzels. Random bags yield random results, the first pretzel in your mouth is an awesome experience, for the most part.<br /><br />But, for crying out loud, why do they have to add an YEAR'S WORTH OF SALT in one friggin bag?!! It's not consistent, sometimes you get lucky with the top portion of the bag when it's not all that salty, but by the end of one bag, you do get the feeling that you have consumed an ocean's salt content. Why this idiocy? When all one craves for is the taste of spicy jalapeno? The sucker that I am, I eat the first couple of pretzel pieces and then throw the whole bag away, it's serious sodium poisoning if you do consume the whole bag.","Salty,Salty,Salty,Salty and more salty",1
"Please note that Sweet 'n Low sugar free frostings are ""sugar free."" However, if you're diabetic, you are going to ingest something that has a higher impact on raising your blood glucose than does a regular sugared frosting! Maltodextrin is the first ingredient listed on Sweet 'n Low frostings. Athletes use maltodextrin in energy drinks and foods to give them a *BURST* of glucose. My diabetic family members' postprandial glucometer readings were incredibly high after eating this. I've written the company about the impact of their product & to stop touting it as a ""must for diabetics,"" but they never responded. PLEASE, please, please realize that if you're a diabetic, eating maltodextrin is worse than eating sugar as it has a quick, rising impact on blood sugar--unhealthy for diabetics. It's your job as a consumer to be informed. I hope this helps diabetics out there who are enjoying this product not testing afterwards to see their blood glucose skyrocket.",Maltodextrin impacts blood sugar!,1
Quality was not as expected.,Nan,1
It smells like diesel fuel and has absolutely no orange blossom/flower fragrance.<br />It lists orange oil and other natural flavors in the ingredients. There should be no<br />orange oil in true orange blossom water. I'm surprised that a brand like Nielsen-Massey<br />would sell an inferior product like this. I couldn't even use this in cosmetic preparations.,This stuff is awful,1
It is not Google Home nest mini it is old generation cannot connect with Wi-Fi,Utterly Disappointed,1
Very bad quality,Absolute rubbish!,1
"I love Timothy's coffee pods, so when I bought a Keurig, naturally I bought Timothy's.  I bought two flavored coffees but they are way too bold and strong for a morning coffee drinker.  I am now trying Gloria Jean, Emeril and Caribou, looking for a pleasant morning cup.  I may consider opening up the K-cups to see if I can dump the contents into a toddy maker, I hate to toss these, but find them unpleasantly harsh.",Tooooooooo strong,1
This tastes terrible. Even the powdered hot cocoa mixes where you can pour hot water taste a lot better (and cheaper)!,Worst Hot Cocoa Ever,1
I donated this to local food pantry; since my current two cats rejected it.  Other cats thought it was great treat!,cats didn't like it!,1
They were hard and not editable so threw them out. Will not order again. No answers from candy depot to my complaint.I would give it no stars,Licorice allsorts no stars,1
"Poor! Doesn't have including Pump,Arch strip, Glue dot.  Balloons quality was excellent ð¡ð¤",Worst experience ever!,1
"I took a chance and ordered these even though I couldn't find out where they were manufactured. I only by Made in the USA products for my dog because items made in Mexico and other countries sometimes use arsenic as a preservative even though that is not disclosed on the ingredients. Treats made in the USA are subject to stricter rules and do not contain that preservative. I tried to see the back of the bag or read where the items were made or processed, so I took a chance and ordered them. That should have been my clue.  I received the item and found out these are made in Mexico, so I returned them. From now on I will not order anything unless I find that this information is included in the product description. I share this as a heads up to other consumers. Talk to your vet, do some research, make up your own mind. And the next time you go to the store to buy treats for your pups, take a look at the label, you'll be surprised how many are made outside the USA.",Sent these back,1
Not working Properly,Absolute rubbish!,1
Worst,Don't waste your money,1
"This is a nice idea, but you can only fit half a sweet potato in it at a time. You should instead buy yourself an immersion blender, which is super easy to clean and useful for other things too. Steaming your food in a regular pot with a steamer basket is much faster and easier, and you don't need to be plugged in to do it. The Babycook is so cute and the idea is so nice, I just had to buy it.<br /><br />I have some issues with the design as well as the function - the lid is awkward to close, a little lip on the lid has to slide into a little crevice on the body before you can use it. Very annoying to use, and you cannot get the thing off when you are done unless you use two hands. The food chopping function only happens when you have the switch turned, so its never hands free except when you are steaming, which takes longer than steaming on my gas stove. The cord is also too short, which is never good in the kitchen.<br /><br />I did a test last night, half of the sweet potato in the babycook and half on the stove (chopped). Stove won, it was done first. But wait, the babycook will puree too right, so that was handy.  But in order to puree a potato you need additional water, and that means a two handed removal of the lid and then the same thing to get it back on again. If there are chunks, its off again with the lid - very annoying.  You can't fit much in the babycook to puree even after taking out the steaming basket. You are still limited to one half of a sweet potato, so I had to puree in batches.<br /><br />An immersion blender is nice because you can move it around to get all the chunks, you can tilt the container etc.. I got this as a gift, I asked for it actually. But now I would love to return it.<br /><br />Save your money and invest in an immersion blender for when you are making larger batches and a hand held food mill that doesn't need to be plugged in when baby eats what the family is eating but in a softer form.<br /><br />Definitely not recommended.",not worth the money,1
"I accidentally ordered this a second time. The word ""Kona"" in the name of the coffee throws me off. Such a waste of money.<br /><br />I love Kona coffee and ones like it. They, in my experience, are mellow and not burned tasting.",Dark Roast Flavor Overpowers,1
"If you even like this product...the bottle design doesn't allow one to effectively shake up the ingredients before pouring therefore you get all oil right off the top. I suggest pouring it into a bowl and whisking. It contains xanthan gum but it wasn't effective as an emulsifier. No one flavor stood out but I could taste the canola oil. I like tart and this isn't. With the sweetness of the fig, a bit more acidity would have balanced it out. I found the flavor cloying and unpalatable. I even tried adding wine vinegar to it but it didn't help. It ended up sitting in my refrigerator for over 6 months. I finally used some to baste the top of a pork roast and poured the rest down the drain. I still can't figure out why they added caramel color when balsamic vinegar is already dark and so is fig paste. Also, I bought this on sale (it was a discontinued item) at my store. I asked one of the managers why it was was discontinued and he said usually it's because the product was not a good seller. I can see why.",Not good.,1
Very bad quality shorts,Nan,1
"Wow, was I looking forward to this after the great reviews. I got it today & made a cup right away. What a huge disappointment. The cinnamon oil is overpowering in a very unpleasant way. I cannot taste or smell any other spice. The green tea does come through a bit.<br /><br />I forced myself to finish the cup. I doctored it with extra fresh cardemom and fresh star anise. It was not worth the effort, it was as if I'd never put them in the cup.<br /><br />If you like true chai flavored tea and do not want the cinnamon to overpower your taste buds, this is NOT for you. Stay away from this stuff.<br /><br />Even from the perspective of the cinnamon flavor, this tea is not pleasant. I understand cinnamon is good for lowering blood sugar levels, so if you want to use this as a medicinal tea, I guess this would be acceptable.<br /><br />I can't send this back, so I'll be using it in a pot of boiling water for a cinnamon potpourri. I wouldn't even mix it with my other chai teas as there is just too much cinnamon oil.<br /><br />Stash would have been better off just using the real spices and skipping the oils. Now I am concerned about the green tea chai from Stash. I have some on order and they noted that they included clove oil. I'm hoping it won't taste like a cup of clove water.<br /><br />Very, very disappointed.","This tastes like CINNAMON OIL, not a traditional chai blend",1
I did not realize this CAT food would be filled with whole peas and visible carrots among other veggies. My cats thought I was nuts trying to feed them this stuff.,Cats are Carnivores,1
"I noticed there was a bad review on the product but I thought that the review is 2 years old so the product quality can be different now. I was wrong. This ""fresh thyme"" give a horrible taste to the meal. Even if the product smell is acceptable, the fibers seems to contain mold (at least this is the taste it produces). The texture is mostly solid so is stem based not leaf.<br /><br />I would not recommend this product!",Not fresh at all,1
Very poor,Unsatisfactory,1
I was in a hurry and did not read the reviews...I trusted amazon's description and it did NOT indicate it was flavored coffee and that it was NOT Jamaican...it is very lightly flavored with vanilla so it isnt too bad. I feel cheated.,Non-Flavored coffee drinkers beware!,1
"I bought this gourmet popping corn believing I was getting better than I can get a my local Trader Joe's... Wrong It was over priced, the shipping cost almost as much as the corn did and most of all the quality of the corn was terrible. The kernels were tiny and not fluffy when they did pop ...mostly they didn't pop. We could not wait to be done with this product! Also I asked to cancel the shipment before it was shipped because the shipping price was too high and still I got it.",Awful! Awful! Awful!,1
Dust bag lock broken in less den a month,Did not meet expectations,1
Bad,Unsatisfactory,1
No one is requested to buy too much product is scrap,Nan,1
"I was excited when this product was recommeded as a low calorie, low carb pina colada mix. I was disappointed in the replusive lingering after taste and bitter flavor of this mixer.<br /><br />I poured the rest of the bottle out and will continue my search for a similar product with a palatable taste.",NASTY AFTER TASTE,1
"Can you believe this? This inverter got faulty in less than a months time without any high/low voltage issue or any sort of such thing. One night I heard an explosion like sound from inside of the inverter, soon there was smoke all around and burning smell.I doubt that if I didn't noticed it even my house may have caught up on fire. Poor quality thing.Update: In just 7 months time the inverter main board was replaced 3 times. Battery heating up due to over charging.",Very bad quality. In just 1 month the inverter is dead,1
V baid quality,Unsatisfactory,1
Worst,Terrible product,1
"I own my own bakery and i am always looking for a bargain.  I purchased this product thinking i was going to get a great deal and a great product.  When i received my packages, the boxes were all messed up and when i open the first can of cream it was spoiled.  i looked at the date and i was current, but the product was spoiled. So i opened another can and the same thing, spoiled.  Are the products not check for quailty before the are sent out???  I was very upset about this!  I tried calling, but till now have not received a response.  I will never buy ediable products from here again.  Another thing is that along with the item I also purchase some other product and it was spoiled also.  So So upset!!!",Dissapointed,1
"The seller and the filpkart company are fooling the customer to sell this product they have kept this product for replacement and not for refund, third class product",Useless product,1
Worst product I will never seen in Flipkart,Nan,1
"One must be really careful buying some things (like cat food) on the Internet.  All of my past reviews for products on Amazon have been positive, but this one defies logic.  The food is wonderful and we have used it at our animal rescue for over eight years now.  We usually buy 4 to 6 bags at a time.  A month or so ago Amazon raised their price for it from $15.59 a bag to $24.44.  Amazon still sells the same around $17 a bag through other vendors (such as Petco) but then you get socked with high shipping charges and sales taxes.  I realize that, generally, prices for products tend to increase over time, but this price increase seems particularly onerous, especially when one can obtain the product from other providers for aorund $16 with free postage.",Outrageous price increase,1
"I will no longer be giving these to my dog!! They caused my dog to have diarrhea and vomit! When I did some more research online, there were many many posts about how the treats caused their dogs to have similar and even much more severe health issues! My dog loves these treats. I have been giving these to her for about a year or two now. Every once in a while she would have diarrhea or start vomiting a yellow foamy substance- in most cases both, and I finally now linked it to these treats. Do your research before you buy this product!! However, I would not recommend these at all!",Causes diarrhea and vomiting!! Do not buy!,1
My golden doodle chewed through the rope within 2 days.  I thought it was going to be a great interactive toy for him but it was not.  Clever boy chewed through the rope so that the treats poured out! lol,not durable for a chewer,1
"Watery, weak, no coffee flavor & the chocolate flavor is very odd. Seriously, a packet of Swiss Miss blows this away. Whether they call this a coffee or a cocoa, it's a terrible rendition of either.  Good thing my kids like it so it gets used up!",Terrible coffee and/or cocoa!,1
Poor quality,Not recommended at all,1
"The cups are smaller and hold less coffee than the competitors. They also are not airtight so will degrade once the package is opened unless used quickly. But even if used quickly they are weak and watery. Actually, more like dishwater. They should come with a warning label. I would have wanted to know that they were weak and watery by design.","Rip Off, version 2",1
"This is in reference to the Unsweetened tea. The label on front proclaims in giant print that it is brewed with all natural ingredients.<br /><br />Only on the back in fine print under ingredients do you learn that it has ""CARAMEL COLOR ADDED [ed. emphasis] for uniformity of color"". I would contend they did it to make it look darker and stronger than their competitors.<br /><br />I grew up in the south and my mom made iced tea twice per day and she never felt compelled to add any caramel color and we never complained it wasn't dark enough. She let the tea provide its own color, just as nature made it.<br /><br />Tradewinds should stop trying to dupe their customers with misleading labels. The tea was only so-so anyway. I certainly won't buy it again...and besides the price I paid was about half of Amazon's price and since I bought locally, there was no shipping either. This one is a loser.",Misleading label,1
"I had an infestation of fruitflies, they were literally everywhere flying around me in my  kitchen, so I bought this product hoping to at least get rid of a few. But after 2 weeks, only 1 fly had stuck... I was going around with a notepad and squishing the buggers myself with a success rate of 2-3 a day so clearly this product was useless! I even dabbed to red wine and banana to the top of the column after 1 week because they were really attracted to any red wine I had in a glass... but still it did nothing to get them stuck. And then I actually saw a second fly land on it once, and I watched as it flapped it's wings frantically and within 30 secs it had unstuck itself!!!! This product was a total waste of money!",only one fruitfly stuck,1
"Very dissatisfied with this product. Reasons1. Quality has been degraded from earlier models.2. I had to return it due to broken lid received3. When got its replaced one, it was too had crack in lid of jar.4. Only attraction of it was kneading option, but now it has become too complicated. Even one can do by hand faster than installing so many accessories for kneading.5. Quality of over all plastic is very poor. So returning even the replaced one. Hope inaslsa will improve it.",Not recommended at all,1
Waste,Nan,1
"Sadly, this item seems to have been left over from a prior Christmas, maybe 2008? Cookies were very stale, ended up throwing them away",STALE,1
some things that are seafood shouldnt be edible especially this. its disgusting and has squirmy legs and every time i see one i think of the creepy lady from the little mermaid. who knows you could be eating ursula ??<br />The only reason you should eat octupus is if you are being dared or on Fear Factor. there are some things in this world you can't eat,it's gross and i hate it,1
"Even though this appears to be intended for dogs, I bought this for my cat Digby. He is very smart and likes puzzle toys (the ones that conceal treats of course). The problem with this toy is the depth of the 'bowls' that hold the treats. Digby cannot get his snout deep enough into the bowls to get the food. I could see a large dog with a big toungue being able to do it, but not a small dog or a cat. This is too bad because it looks like someone put some thought into this thing, they just perhaps only had one size animal in mind when they designed it. If your pet can lick the inside bottom of a jelly jar, perhaps this will be a good item to get them.",Good for long toungues or really small faces,1
"If you like fake grape flavor, you'll love this.  Otherwise, spend your money elsewhere.",Fake Grape,1
"This seems to me to be vastly over-rated. It's just some very tiny little round things that have no special taste except for a sweet taste.  They are way overpriced for what you get.  And, Amazon does not accept returns on this item! Money wasted for sure!",IS THIS OVER-RATED?,1
"I really like other flavors of Stash (peach, lemongrass green and breakfast blend).  But, this has two types of cloves which I knew weren't my favorite but it also had cardomon oil which is my favorite spice.  But the cloves overpower everything else.  Numi golden chai has no cloves whatsoever so I recommend it if you want to avoid those pesky cloves.  Oh, Numi also does not have black pepper which is traditional in chai tea but is also a taste I don't like in my tea.",If you dislike cloves do not buy this buy Numi golden chai.,1
"After I gave my dog this treat, she had diarrhea for 2 days!. What a mess! She won't be getting this again.",Diarrhea!,1
"Just because the tea contains all the spices of chai tea, it isn't necessarily chai. The spices are incorrectly proportioned and some flavors such as cinnamon are too strong. This is simply not authentic chai.",Not authentic chai,1
I bought this and tried it 3 times and then took it to the office to give away.  This is the worst tea I have ever had.  Maybe it's good with milk or sugar or something but without something to hide the flavor it is just bad.  It tastes and smells like the grass in my front yard.,Not to my taste,1
I tried a couple of the Sukhi's spice mix packets. They had good flavor but are way over-priced for the amount of spice you get. The Gobi Aloo mix had 0.4 oz of spice which was barely enough to flavor the 2 cups of vegetables called for which is supposed to be 4 servings. One half cup of vegetables for a serving is pretty small in my opinion. If there was a decent amount of spice in the packet I would rate it higher. I got it on sale at $2 a packet and even at that price it felt like a rip-off.,Sukhi's Spice Mix Packets,1
"I don't think I've ever eaten anything drier than these cookie bars, ever in my life. They taste okay, but I just can't choke them down, even with coffee.",Dry as a Bone,1
If you like your popcorn either burned or unpopped this is the one for you.  The time for the kernels to pop varies so much that the first ones are burned by the time the last ones pop.,tastless,1
I have to say I am very disappointed in this deal. The merchant claimed he couldn't get a box from post office by the end of holidays. Now it's been more than two weeks after the holidays but the product was still not sent out. Made me think the merchant wasn't quite honest in this whole thing.,It's been almost one month! Still not shipped.,1
"I bought the regular cola flavor to give it a try, but after tasting it, I realized that it had artificial sweetener. I didn't think to read the ingredients before buying, since it wasn't diet. Not sure why they did that, since the first ingredient is SUGAR. I can't give it a good rating, as I stay away from artificial sweeteners and I feel that they were a bit deceptive by not making the fact that it contains artificial sweeteners more noticeable. I don't drink cola every day (maybe once a week or less) and I feel that sugar is OK in moderation.",Regular Cola has Artificial Sweetener,1
"I remember enjoying campbells manhatten clam chowder when there were clams in it. This current soup had a few little flecks of clams and the rest was a thickened tomato base with mostly potatoes.Oh well,one more product to avoid. With the recent increase in food prices this is not worth one star!",uuggghh!,1
"Try the bacon mints if your going for a gag gift.  Everyone who tried these spit them out, they taste terrible.",These are bad,1
"According to the description here on Amazon, this product is buffalo mozzarella. However, if you visit the BelGioioso  website, they say it's made from cow's milk. Sorry, but I have to go with what is said by the people who make it. And if they're saying it's made from cow's milk, and I want bufallo mozzarella, I'm probably not going to buy this product.",I wonder about this,1
"Save yourself from trying these k-cups - not a good substitute for the typical ones, like the ones from Green Mountain.  Bitter taste and unpleasant after taste as well.  Not worth it at all.",Poor substitute,1
"waste product ,",Worthless,1
"My dogs would not lick it or even pay attention to it. I thought it would be great for training as I am a consumate treat ""dropper"", but they were not the least interested. Too bad",Pet safe Lickety stik,1
